code,tempC,util_norm_1000,dyn_mw,leak_mw,exp_dyn_mw,exp_leak_mw,dyn_err_pct,leak_err_pct
0,20,890,712,48,712,48,0.00,0.00
0,30,890,712,72,712,72,0.00,0.00
0,50,890,712,120,712,120,0.00,0.00
0,70,890,712,168,712,168,0.00,0.00
0,90,890,712,216,712,216,0.00,0.00
1,20,890,979,56,979,56,0.00,0.00
1,30,890,979,84,979,84,0.00,0.00
1,50,890,979,140,979,140,0.00,0.00
1,70,890,979,196,979,196,0.00,0.00
1,90,890,979,252,979,252,0.00,0.00
2,20,890,1290,66,1290,66,0.00,0.00
2,30,890,1290,99,1290,99,0.00,0.00
2,50,890,1290,165,1290,165,0.00,0.00
2,70,890,1290,231,1290,231,0.00,0.00
2,90,890,1290,297,1290,297,0.00,0.00
3,20,890,1646,76,1646,76,0.00,0.00
3,30,890,1646,114,1646,114,0.00,0.00
3,50,890,1646,190,1646,190,0.00,0.00
3,70,890,1646,266,1646,266,0.00,0.00
3,90,890,1646,342,1646,342,0.00,0.00
4,20,890,2047,86,2047,86,0.00,0.00
4,30,890,2047,129,2047,129,0.00,0.00
4,50,890,2047,215,2047,215,0.00,0.00
4,70,890,2047,301,2047,301,0.00,0.00
4,90,890,2047,387,2047,387,0.00,0.00
5,20,890,2403,96,2403,96,0.00,0.00
5,30,890,2403,144,2403,144,0.00,0.00
5,50,890,2403,240,2403,240,0.00,0.00
5,70,890,2403,336,2403,336,0.00,0.00
5,90,890,2403,432,2403,432,0.00,0.00
6,20,890,2803,104,2803,104,0.00,0.00
6,30,890,2803,156,2803,156,0.00,0.00
6,50,890,2803,260,2803,260,0.00,0.00
6,70,890,2803,364,2803,364,0.00,0.00
6,90,890,2803,468,2803,468,0.00,0.00
